
Branch,Degree,Score/800,Aptitude,English,Quantitative,Analytical,Domain,Computer Fundamental,Coding,Placement Status
Electrical Engineering,B. Tech.,500,56 %,47 %,53 %,67 %,20 %,33 %,00 %,
Electronics and Communications Engineering,B. Tech.,497,51 %,60 %,47 %,47 %,30 %,13 %,00 %,
Applied Electronics and Instrumentation,B. Tech.,497,49 %,60 %,27 %,60 %,20 %,53 %,20 %,
Mechanical Engineering,B. Tech.,497,49 %,40 %,67 %,40 %,40 %,33 %,20 %,
Mechanical Engineering,B. Tech.,497,51 %,33 %,53 %,67 %,55 %,20 %,00 %,
Mechanical Engineering,B. Tech.,497,47 %,60 %,13 %,67 %,55 %,40 %,00 %,
MCA,MCA,497,44 %,53 %,33 %,47 %,45 %,53 %,100 %,
Mechanical Engineering,B. Tech.,497,51 %,60 %,40 %,53 %,40 %,20 %,00 %,
Applied Electronics and Instrumentation,B. Tech.,497,49 %,47 %,40 %,60 %,25 %,27 %,20 %,
Electrical Engineering,B. Tech.,497,51 %,27 %,47 %,80 %,35 %,60 %,00 %,
Electrical Engineering,B. Tech.,497,53 %,40 %,73 %,47 %,40 %,20 %,00 %,
Electrical Engineering,B. Tech.,497,53 %,67 %,47 %,47 %,30 %,40 %,00 %,
Computer Science Engineering,B. Tech.,497,49 %,67 %,40 %,40 %,40 %,47 %,00 %,
Information Technology,B. Tech.,494,51 %,60 %,47 %,47 %,40 %,40 %,20 %,
Electronics and Communications Engineering,B. Tech.,494,47 %,40 %,27 %,73 %,55 %,33 %,00 %,
Electrical Engineering,B. Tech.,494,49 %,47 %,33 %,67 %,45 %,27 %,00 %,
Electrical Engineering,B. Tech.,494,49 %,60 %,33 %,53 %,45 %,27 %,00 %,
Applied Electronics and Instrumentation,B. Tech.,494,53 %,60 %,60 %,40 %,30 %,27 %,00 %,
Mechanical Engineering,B. Tech.,494,49 %,33 %,47 %,67 %,50 %,27 %,00 %,
Computer Science Engineering,B. Tech.,494,47 %,13 %,67 %,60 %,60 %,67 %,20 %,
Electronics and Communications Engineering,B. Tech.,494,47 %,33 %,47 %,60 %,50 %,73 %,56 %,
Computer Science Engineering,B. Tech.,494,51 %,47 %,60 %,47 %,40 %,47 %,00 %,
Electronics and Communications Engineering,B. Tech.,494,47 %,40 %,53 %,47 %,45 %,47 %,20 %,
Applied Electronics and Instrumentation,B. Tech.,494,51 %,67 %,33 %,53 %,40 %,40 %,00 %,
Electronics and Communications Engineering,B. Tech.,491,49 %,40 %,53 %,53 %,35 %,53 %,00 %,
Electrical Engineering,B. Tech.,491,51 %,53 %,60 %,40 %,30 %,33 %,00 %,
Computer Science Engineering,B. Tech.,491,47 %,67 %,40 %,33 %,50 %,40 %,00 %,
Electrical Engineering,B. Tech.,491,49 %,47 %,27 %,73 %,25 %,40 %,00 %,
Mechanical Engineering,B. Tech.,491,47 %,20 %,67 %,53 %,50 %,27 %,00 %,
Electronics and Communications Engineering,B. Tech.,491,51 %,40 %,27 %,87 %,35 %,33 %,00 %,
Computer Science Engineering,B. Tech.,491,47 %,67 %,13 %,60 %,45 %,33 %,20 %,
Electrical Engineering,B. Tech.,488,44 %,53 %,40 %,40 %,55 %,33 %,20 %,
Applied Electronics and Instrumentation,B. Tech.,488,44 %,53 %,20 %,60 %,35 %,60 %,00 %,
Electronics and Communications Engineering,B. Tech.,488,47 %,53 %,47 %,40 %,45 %,27 %,20 %,
Electrical Engineering,B. Tech.,488,47 %,40 %,60 %,40 %,45 %,60 %,20 %,
Mechanical Engineering,B. Tech.,488,49 %,60 %,33 %,53 %,55 %,13 %,00 %,
Electronics and Communications Engineering,B. Tech.,485,49 %,47 %,40 %,60 %,25 %,33 %,20 %,
Electronics and Communications Engineering,B. Tech.,485,47 %,60 %,27 %,53 %,60 %,47 %,20 %,
Applied Electronics and Instrumentation,B. Tech.,485,47 %,40 %,53 %,47 %,30 %,27 %,20 %,
Electrical Engineering,B. Tech.,485,47 %,60 %,27 %,53 %,30 %,27 %,20 %,
Computer Science Engineering,B. Tech.,485,47 %,73 %,27 %,40 %,35 %,40 %,00 %,
Applied Electronics and Instrumentation,B. Tech.,485,47 %,53 %,20 %,67 %,50 %,33 %,20 %,
Mechanical Engineering,B. Tech.,485,51 %,73 %,40 %,40 %,35 %,53 %,00 %,
Computer Science Engineering,B. Tech.,485,47 %,27 %,47 %,67 %,25 %,40 %,00 %,
Electronics and Communications Engineering,B. Tech.,482,44 %,40 %,27 %,67 %,55 %,40 %,20 %,
Electrical Engineering,B. Tech.,482,44 %,33 %,27 %,73 %,30 %,53 %,00 %,
Electrical Engineering,B. Tech.,482,40 %,53 %,20 %,47 %,35 %,47 %,20 %,
Information Technology,B. Tech.,482,44 %,40 %,40 %,53 %,50 %,40 %,20 %,
Electrical Engineering,B. Tech.,482,49 %,53 %,40 %,53 %,30 %,27 %,00 %,
Mechanical Engineering,B. Tech.,482,47 %,53 %,47 %,40 %,50 %,20 %,00 %,
Information Technology,B. Tech.,482,44 %,47 %,13 %,73 %,45 %,47 %,20 %,
Mechanical Engineering,B. Tech.,482,47 %,40 %,53 %,47 %,45 %,40 %,00 %,
Electronics and Communications Engineering,B. Tech.,482,44 %,47 %,27 %,60 %,40 %,33 %,00 %,
Electrical Engineering,B. Tech.,482,44 %,47 %,40 %,47 %,30 %,20 %,00 %,
Mechanical Engineering,B. Tech.,482,49 %,67 %,27 %,53 %,50 %,40 %,00 %,
Electronics and Communications Engineering,B. Tech.,479,47 %,53 %,33 %,53 %,45 %,27 %,00 %,
Computer Science Engineering,B. Tech.,479,47 %,60 %,33 %,47 %,45 %,53 %,20 %,
Electrical Engineering,B. Tech.,479,42 %,60 %,20 %,47 %,65 %,47 %,00 %,
Mechanical Engineering,B. Tech.,479,44 %,53 %,47 %,33 %,55 %,47 %,20 %,
Mechanical Engineering,B. Tech.,479,49 %,40 %,60 %,47 %,75 %,27 %,00 %,
Mechanical Engineering,B. Tech.,479,47 %,67 %,07 %,67 %,45 %,13 %,00 %,
Mechanical Engineering,B. Tech.,479,49 %,40 %,33 %,73 %,35 %,13 %,00 %,
Mechanical Engineering,B. Tech.,479,49 %,67 %,67 %,13 %,35 %,53 %,00 %,
Applied Electronics and Instrumentation,B. Tech.,479,53 %,73 %,33 %,53 %,30 %,53 %,00 %,
Mechanical Engineering,B. Tech.,476,44 %,33 %,40 %,60 %,35 %,20 %,00 %,
Electrical Engineering,B. Tech.,476,44 %,47 %,47 %,40 %,25 %,47 %,00 %,
Electrical Engineering,B. Tech.,476,47 %,53 %,33 %,53 %,35 %,20 %,00 %,
Mechanical Engineering,B. Tech.,476,47 %,67 %,33 %,40 %,50 %,33 %,00 %,
Electrical Engineering,B. Tech.,476,47 %,33 %,47 %,60 %,45 %,07 %,00 %,
Electrical Engineering,B. Tech.,476,49 %,53 %,53 %,40 %,25 %,33 %,00 %,
Mechanical Engineering,B. Tech.,476,44 %,47 %,53 %,33 %,30 %,20 %,00 %,
Electronics and Communications Engineering,B. Tech.,476,49 %,53 %,47 %,47 %,40 %,40 %,00 %,
Information Technology,B. Tech.,473,44 %,40 %,40 %,53 %,15 %,47 %,00 %,
