
Branch,Degree,Score/800,Aptitude,English,Quantitative,Analytical,Domain,Computer Fundamental,Coding,Placement Status
Mechanical Engineering,B. Tech.,434,38 %,27 %,47 %,40 %,30 %,20 %,00 %,
Mechanical Engineering,B. Tech.,434,38 %,33 %,40 %,40 %,30 %,27 %,00 %,
Electronics and Communications Engineering,B. Tech.,434,36 %,13 %,47 %,47 %,35 %,27 %,00 %,
Mechanical Engineering,B. Tech.,434,38 %,47 %,20 %,47 %,30 %,27 %,00 %,
Electrical and Electronics Engineering,B. Tech.,434,38 %,40 %,33 %,40 %,35 %,27 %,00 %,
Mechanical Engineering,B. Tech.,434,36 %,33 %,20 %,53 %,50 %,13 %,00 %,
Electrical and Electronics Engineering,B. Tech.,431,38 %,47 %,27 %,40 %,20 %,20 %,00 %,
Electrical Engineering,B. Tech.,431,36 %,47 %,27 %,33 %,55 %,33 %,00 %,
Electronics and Communications Engineering,B. Tech.,431,38 %,27 %,53 %,33 %,20 %,47 %,00 %,
Electronics and Communications Engineering,B. Tech.,431,36 %,33 %,40 %,33 %,40 %,27 %,00 %,
Electronics and Communications Engineering,B. Tech.,431,36 %,33 %,27 %,47 %,20 %,13 %,00 %,
Civil Engineering,B. Tech.,431,36 %,33 %,33 %,40 %,35 %,47 %,00 %,
Electronics and Communications Engineering,B. Tech.,431,36 %,40 %,20 %,47 %,40 %,20 %,00 %,
Computer Science Engineering,B. Tech.,428,36 %,33 %,33 %,40 %,25 %,27 %,00 %,
Electronics and Communications Engineering,B. Tech.,428,36 %,40 %,27 %,40 %,20 %,20 %,00 %,
Electrical and Electronics Engineering,B. Tech.,428,36 %,20 %,40 %,47 %,25 %,27 %,00 %,
Civil Engineering,B. Tech.,428,36 %,47 %,33 %,27 %,50 %,40 %,00 %,
Mechanical Engineering,B. Tech.,428,36 %,40 %,27 %,40 %,40 %,13 %,00 %,
Electronics and Communications Engineering,B. Tech.,428,33 %,47 %,27 %,27 %,30 %,27 %,00 %,
Electrical Engineering,B. Tech.,428,36 %,33 %,53 %,20 %,55 %,33 %,00 %,
Mechanical Engineering,B. Tech.,425,36 %,53 %,20 %,33 %,35 %,60 %,00 %,
Computer Science Engineering,B. Tech.,425,38 %,27 %,27 %,60 %,15 %,13 %,00 %,
Computer Science Engineering,B. Tech.,425,38 %,33 %,33 %,47 %,15 %,20 %,00 %,
Computer Science Engineering,B. Tech.,425,36 %,27 %,33 %,47 %,20 %,47 %,00 %,
Electrical and Electronics Engineering,B. Tech.,422,33 %,33 %,27 %,40 %,40 %,33 %,00 %,
Electrical and Electronics Engineering,B. Tech.,422,36 %,53 %,27 %,27 %,30 %,20 %,00 %,
Mechanical Engineering,B. Tech.,422,36 %,47 %,27 %,33 %,40 %,20 %,00 %,
Computer Science Engineering,B. Tech.,422,36 %,20 %,40 %,47 %,20 %,40 %,00 %,
Electrical Engineering,B. Tech.,422,31 %,40 %,40 %,13 %,65 %,33 %,20 %,
Electrical and Electronics Engineering,B. Tech.,422,36 %,27 %,33 %,47 %,35 %,20 %,00 %,
Electrical Engineering,B. Tech.,422,38 %,27 %,33 %,53 %,25 %,27 %,00 %,
Electrical and Electronics Engineering,B. Tech.,419,33 %,20 %,40 %,40 %,35 %,27 %,00 %,
Electrical and Electronics Engineering,B. Tech.,419,38 %,33 %,27 %,53 %,30 %,07 %,00 %,
Electrical and Electronics Engineering,B. Tech.,419,33 %,53 %,13 %,33 %,25 %,13 %,00 %,
Electrical Engineering,B. Tech.,419,33 %,20 %,40 %,40 %,40 %,33 %,00 %,
Computer Science Engineering,B. Tech.,416,33 %,40 %,20 %,40 %,25 %,40 %,00 %,
Computer Science Engineering,B. Tech.,416,38 %,33 %,27 %,53 %,05 %,27 %,00 %,
Electronics and Communications Engineering,B. Tech.,416,36 %,47 %,27 %,33 %,30 %,40 %,00 %,
Computer Science Engineering,B. Tech.,416,33 %,40 %,00 %,60 %,25 %,47 %,00 %,
Electronics and Communications Engineering,B. Tech.,416,31 %,33 %,27 %,33 %,30 %,27 %,00 %,
Mechanical Engineering,B. Tech.,416,31 %,27 %,47 %,20 %,10 %,33 %,00 %,
Computer Science Engineering,B. Tech.,416,33 %,27 %,40 %,33 %,25 %,27 %,00 %,
Mechanical Engineering,B. Tech.,416,31 %,33 %,33 %,27 %,60 %,47 %,00 %,
Electrical and Electronics Engineering,B. Tech.,413,31 %,20 %,13 %,60 %,25 %,27 %,00 %,
Mechanical Engineering,B. Tech.,413,33 %,53 %,27 %,20 %,40 %,33 %,00 %,
Mechanical Engineering,B. Tech.,413,33 %,53 %,27 %,20 %,20 %,07 %,00 %,
Civil Engineering,B. Tech.,413,33 %,27 %,33 %,40 %,30 %,40 %,00 %,
Computer Science Engineering,B. Tech.,413,33 %,20 %,33 %,47 %,30 %,27 %,00 %,
Mechanical Engineering,B. Tech.,413,31 %,40 %,20 %,33 %,40 %,27 %,00 %,
Computer Science Engineering,B. Tech.,410,36 %,33 %,20 %,53 %,35 %,27 %,00 %,
Electronics and Communications Engineering,B. Tech.,410,31 %,53 %,20 %,20 %,30 %,27 %,00 %,
Computer Science Engineering,B. Tech.,410,36 %,60 %,07 %,40 %,15 %,00 %,00 %,
Mechanical Engineering,B. Tech.,410,31 %,27 %,40 %,27 %,35 %,20 %,00 %,
Computer Science Engineering,B. Tech.,410,31 %,53 %,00 %,40 %,30 %,40 %,00 %,
Electrical and Electronics Engineering,B. Tech.,410,36 %,33 %,27 %,47 %,10 %,13 %,00 %,
Computer Science Engineering,B. Tech.,407,33 %,53 %,27 %,20 %,20 %,27 %,00 %,
Civil Engineering,B. Tech.,401,29 %,33 %,13 %,40 %,60 %,33 %,00 %,
Electrical Engineering,B. Tech.,401,33 %,20 %,53 %,27 %,30 %,13 %,00 %,
Mechanical Engineering,B. Tech.,401,31 %,40 %,27 %,27 %,35 %,13 %,00 %,
Computer Science Engineering,B. Tech.,401,31 %,33 %,27 %,33 %,25 %,40 %,00 %,
Electrical and Electronics Engineering,B. Tech.,401,31 %,33 %,20 %,40 %,15 %,27 %,00 %,
Electrical and Electronics Engineering,B. Tech.,398,29 %,40 %,20 %,27 %,25 %,40 %,00 %,
Electrical Engineering,B. Tech.,398,31 %,33 %,33 %,27 %,30 %,27 %,00 %,
Computer Science Engineering,B. Tech.,398,31 %,07 %,40 %,47 %,30 %,40 %,00 %,
Civil Engineering,B. Tech.,398,31 %,47 %,20 %,27 %,20 %,53 %,00 %,
Computer Science Engineering,B. Tech.,398,29 %,40 %,07 %,40 %,15 %,33 %,00 %,
Mechanical Engineering,B. Tech.,395,29 %,40 %,20 %,27 %,40 %,20 %,00 %,
Mechanical Engineering,B. Tech.,392,31 %,33 %,33 %,27 %,35 %,20 %,00 %,
Electronics and Communications Engineering,B. Tech.,392,31 %,53 %,00 %,40 %,25 %,33 %,00 %,
Computer Science Engineering,B. Tech.,389,29 %,40 %,27 %,20 %,15 %,27 %,00 %,
Electrical and Electronics Engineering,B. Tech.,389,29 %,33 %,27 %,27 %,30 %,40 %,00 %,
Electrical and Electronics Engineering,B. Tech.,389,29 %,27 %,13 %,47 %,30 %,27 %,00 %,
Electrical Engineering,B. Tech.,386,27 %,13 %,20 %,47 %,25 %,40 %,00 %,
Electronics and Communications Engineering,B. Tech.,386,27 %,27 %,20 %,33 %,30 %,27 %,00 %,
Electrical Engineering,B. Tech.,386,29 %,27 %,40 %,20 %,00 %,27 %,00 %,
Electronics and Communications Engineering,B. Tech.,383,27 %,47 %,20 %,13 %,15 %,27 %,00 %,
Electrical and Electronics Engineering,B. Tech.,380,24 %,73 %,00 %,00 %,30 %,33 %,00 %,
Electrical Engineering,B. Tech.,380,27 %,27 %,20 %,33 %,25 %,13 %,00 %,
Civil Engineering,B. Tech.,377,27 %,33 %,13 %,33 %,35 %,13 %,00 %,
Computer Science Engineering,B. Tech.,374,24 %,27 %,00 %,47 %,25 %,33 %,00 %,
Electronics and Communications Engineering,B. Tech.,374,24 %,60 %,00 %,13 %,25 %,07 %,00 %,
Mechanical Engineering,B. Tech.,374,27 %,20 %,20 %,40 %,10 %,00 %,00 %,
Electrical Engineering,B. Tech.,374,27 %,33 %,40 %,07 %,30 %,20 %,00 %,
Electronics and Communications Engineering,B. Tech.,371,24 %,20 %,20 %,33 %,30 %,47 %,00 %,
Mechanical Engineering,B. Tech.,371,24 %,40 %,00 %,33 %,35 %,33 %,18 %,
Electronics and Communications Engineering,B. Tech.,368,24 %,47 %,00 %,27 %,35 %,20 %,00 %,
Electrical Engineering,B. Tech.,368,27 %,13 %,27 %,40 %,20 %,20 %,00 %,
Electrical Engineering,B. Tech.,365,27 %,20 %,47 %,13 %,30 %,13 %,00 %,
Electronics and Communications Engineering,B. Tech.,365,24 %,47 %,07 %,20 %,40 %,47 %,00 %,
Electrical Engineering,B. Tech.,362,24 %,27 %,13 %,33 %,20 %,33 %,00 %,
Electrical Engineering,B. Tech.,362,22 %,20 %,07 %,40 %,15 %,40 %,00 %,
Electronics and Communications Engineering,B. Tech.,359,22 %,33 %,07 %,27 %,20 %,40 %,00 %,
Electrical Engineering,B. Tech.,359,22 %,20 %,20 %,27 %,25 %,33 %,00 %,
Computer Science Engineering,B. Tech.,353,22 %,27 %,33 %,07 %,15 %,40 %,00 %,
Electronics and Communications Engineering,B. Tech.,353,22 %,07 %,20 %,40 %,20 %,27 %,00 %,
Computer Science Engineering,B. Tech.,350,20 %,27 %,13 %,20 %,20 %,40 %,00 %,
Electrical and Electronics Engineering,B. Tech.,350,22 %,67 %,00 %,00 %,30 %,20 %,00 %,
Electrical Engineering,B. Tech.,347,20 %,00 %,60 %,00 %,50 %,40 %,00 %,
Electrical Engineering,B. Tech.,344,20 %,20 %,20 %,20 %,35 %,40 %,00 %,
Mechanical Engineering,B. Tech.,338,20 %,27 %,20 %,13 %,35 %,27 %,00 %,
Mechanical Engineering,B. Tech.,332,18 %,33 %,07 %,13 %,25 %,40 %,00 %,
Computer Science Engineering,B. Tech.,326,18 %,13 %,20 %,20 %,30 %,27 %,00 %,
Mechanical Engineering,B. Tech.,323,16 %,00 %,47 %,00 %,45 %,40 %,00 %,
Electrical Engineering,B. Tech.,320,16 %,13 %,00 %,33 %,20 %,13 %,00 %,
Electronics and Communications Engineering,B. Tech.,314,16 %,27 %,00 %,20 %,05 %,47 %,00 %,
Electrical and Electronics Engineering,B. Tech.,311,16 %,13 %,07 %,27 %,30 %,20 %,00 %,
Electrical Engineering,B. Tech.,296,11 %,33 %,00 %,00 %,25 %,47 %,00 %,
Electronics and Communications Engineering,B. Tech.,587,64 %,60 %,87 %,47 %,65 %,47 %,100 %,Placed
Electronics and Communications Engineering,B. Tech.,566,64 %,67 %,67 %,60 %,30 %,67 %,00 %,Placed
Electrical Engineering,B. Tech.,542,67 %,80 %,47 %,73 %,40 %,40 %,00 %,
Electronics and Communications Engineering,B. Tech.,542,62 %,73 %,67 %,47 %,40 %,40 %,00 %,Placed
Applied Electronics and Instrumentation,B. Tech.,542,60 %,60 %,53 %,67 %,35 %,40 %,00 %,Placed
Electrical and Electronics Engineering,B. Tech.,539,60 %,47 %,67 %,67 %,55 %,53 %,00 %,
Electronics and Communications Engineering,B. Tech.,539,53 %,53 %,40 %,67 %,50 %,47 %,00 %,
Applied Electronics and Instrumentation,B. Tech.,539,67 %,60 %,67 %,73 %,50 %,53 %,00 %,Placed
Applied Electronics and Instrumentation,B. Tech.,533,60 %,40 %,67 %,73 %,50 %,27 %,00 %,
Electronics and Communications Engineering,B. Tech.,530,58 %,73 %,53 %,47 %,55 %,40 %,00 %,
Electronics and Communications Engineering,B. Tech.,527,56 %,73 %,27 %,67 %,45 %,40 %,00 %,Placed
Applied Electronics and Instrumentation,B. Tech.,527,56 %,47 %,53 %,67 %,60 %,40 %,20 %,
Applied Electronics and Instrumentation,B. Tech.,527,60 %,80 %,53 %,47 %,45 %,53 %,00 %,
Electrical and Electronics Engineering,B. Tech.,524,53 %,47 %,53 %,60 %,50 %,47 %,20 %,
Electronics and Communications Engineering,B. Tech.,524,51 %,60 %,40 %,53 %,30 %,53 %,20 %,Placed
Computer Science Engineering,B. Tech.,521,53 %,60 %,40 %,60 %,50 %,40 %,20 %,
Electronics and Communications Engineering,B. Tech.,518,56 %,53 %,47 %,67 %,35 %,33 %,00 %,
Electrical Engineering,B. Tech.,518,53 %,67 %,40 %,53 %,45 %,40 %,00 %,Placed
Electronics and Communications Engineering,B. Tech.,518,53 %,67 %,33 %,60 %,35 %,20 %,00 %,Placed
Electronics and Communications Engineering,B. Tech.,518,53 %,67 %,27 %,67 %,35 %,60 %,00 %,
Computer Science Engineering,B. Tech.,515,53 %,53 %,47 %,60 %,25 %,60 %,20 %,
Applied Electronics and Instrumentation,B. Tech.,515,53 %,67 %,33 %,60 %,45 %,40 %,00 %,Placed
Electrical and Electronics Engineering,B. Tech.,515,53 %,53 %,40 %,67 %,45 %,47 %,00 %,
Computer Science Engineering,B. Tech.,512,51 %,47 %,60 %,47 %,25 %,47 %,20 %,
Electrical and Electronics Engineering,B. Tech.,512,53 %,67 %,27 %,67 %,25 %,33 %,00 %,Placed
Computer Science Engineering,B. Tech.,512,56 %,53 %,53 %,60 %,40 %,47 %,00 %,
Computer Science Engineering,B. Tech.,512,51 %,67 %,33 %,53 %,40 %,53 %,00 %,Placed
Electronics and Communications Engineering,B. Tech.,509,53 %,53 %,53 %,53 %,35 %,33 %,00 %,
Electronics and Communications Engineering,B. Tech.,509,51 %,60 %,47 %,47 %,40 %,40 %,00 %,Placed
Electronics and Communications Engineering,B. Tech.,506,49 %,47 %,47 %,53 %,50 %,33 %,00 %,
Electrical Engineering,B. Tech.,506,51 %,60 %,40 %,53 %,40 %,33 %,00 %,Placed
Electronics and Communications Engineering,B. Tech.,506,53 %,40 %,60 %,60 %,40 %,67 %,00 %,
Electronics and Communications Engineering,B. Tech.,506,51 %,87 %,13 %,53 %,25 %,47 %,00 %,
Electrical Engineering,B. Tech.,506,49 %,53 %,33 %,60 %,25 %,33 %,20 %,
Electronics and Communications Engineering,B. Tech.,506,51 %,67 %,47 %,40 %,45 %,20 %,00 %,
Electrical Engineering,B. Tech.,503,53 %,60 %,67 %,33 %,50 %,40 %,36 %,
Computer Science Engineering,B. Tech.,503,51 %,80 %,33 %,40 %,40 %,40 %,00 %,
Applied Electronics and Instrumentation,B. Tech.,503,49 %,47 %,40 %,60 %,40 %,60 %,00 %,
Computer Science Engineering,B. Tech.,500,51 %,47 %,60 %,47 %,45 %,27 %,20 %,
Applied Electronics and Instrumentation,B. Tech.,497,53 %,60 %,40 %,60 %,30 %,47 %,00 %,
Electronics and Communications Engineering,B. Tech.,497,49 %,40 %,33 %,73 %,30 %,40 %,00 %,
Electronics and Communications Engineering,B. Tech.,497,56 %,60 %,40 %,67 %,40 %,20 %,00 %,
Electronics and Communications Engineering,B. Tech.,497,47 %,60 %,27 %,53 %,65 %,47 %,00 %,Placed
Computer Science Engineering,B. Tech.,494,49 %,53 %,40 %,53 %,35 %,27 %,20 %,
Electrical and Electronics Engineering,B. Tech.,494,44 %,60 %,47 %,27 %,55 %,27 %,52 %,
Electronics and Communications Engineering,B. Tech.,491,47 %,53 %,20 %,67 %,25 %,47 %,00 %,
Electronics and Communications Engineering,B. Tech.,491,47 %,60 %,13 %,67 %,30 %,47 %,00 %,
Electrical Engineering,B. Tech.,491,49 %,60 %,60 %,27 %,45 %,40 %,00 %,
Electrical and Electronics Engineering,B. Tech.,485,49 %,40 %,53 %,53 %,55 %,07 %,00 %,
Computer Science Engineering,B. Tech.,485,49 %,47 %,47 %,53 %,35 %,27 %,00 %,
Computer Science Engineering,B. Tech.,485,44 %,40 %,40 %,53 %,50 %,33 %,36 %,
Applied Electronics and Instrumentation,B. Tech.,485,47 %,47 %,40 %,53 %,35 %,20 %,00 %,
Computer Science Engineering,B. Tech.,485,47 %,53 %,27 %,60 %,35 %,27 %,00 %,
Computer Science Engineering,B. Tech.,485,44 %,47 %,33 %,53 %,50 %,60 %,00 %,
Electronics and Communications Engineering,B. Tech.,485,44 %,60 %,27 %,47 %,20 %,40 %,00 %,Placed
Electrical Engineering,B. Tech.,482,44 %,47 %,47 %,40 %,15 %,53 %,00 %,
Electrical and Electronics Engineering,B. Tech.,482,44 %,67 %,13 %,53 %,30 %,40 %,00 %,
Electrical Engineering,B. Tech.,482,47 %,53 %,53 %,33 %,15 %,27 %,00 %,
Applied Electronics and Instrumentation,B. Tech.,482,44 %,67 %,13 %,53 %,45 %,40 %,00 %,
Electrical Engineering,B. Tech.,479,47 %,40 %,40 %,60 %,10 %,53 %,00 %,
Electrical and Electronics Engineering,B. Tech.,479,44 %,60 %,20 %,53 %,35 %,40 %,00 %,
Electrical and Electronics Engineering,B. Tech.,479,44 %,47 %,33 %,53 %,20 %,40 %,00 %,
Electronics and Communications Engineering,B. Tech.,479,44 %,67 %,20 %,47 %,55 %,27 %,00 %,
Electronics and Communications Engineering,B. Tech.,479,44 %,40 %,40 %,53 %,55 %,27 %,00 %,
Information Technology,B. Tech.,479,47 %,47 %,20 %,73 %,15 %,40 %,00 %,
Applied Electronics and Instrumentation,B. Tech.,479,42 %,47 %,27 %,53 %,55 %,40 %,00 %,
Applied Electronics and Instrumentation,B. Tech.,479,47 %,47 %,60 %,33 %,30 %,33 %,00 %,
Computer Science Engineering,B. Tech.,476,44 %,40 %,40 %,53 %,35 %,20 %,00 %,
Electrical Engineering,B. Tech.,476,44 %,67 %,13 %,53 %,30 %,40 %,00 %,
Electrical Engineering,B. Tech.,476,44 %,53 %,33 %,47 %,35 %,33 %,00 %,
Electrical and Electronics Engineering,B. Tech.,476,42 %,40 %,40 %,47 %,50 %,47 %,00 %,
Electronics and Communications Engineering,B. Tech.,476,42 %,33 %,53 %,40 %,45 %,47 %,00 %,
Electronics and Communications Engineering,B. Tech.,476,47 %,60 %,27 %,53 %,25 %,27 %,00 %,
Applied Electronics and Instrumentation,B. Tech.,476,47 %,47 %,60 %,33 %,25 %,53 %,00 %,
Computer Science Engineering,B. Tech.,473,42 %,53 %,33 %,40 %,45 %,33 %,00 %,
Computer Science Engineering,B. Tech.,473,44 %,33 %,47 %,53 %,40 %,20 %,20 %,
Electronics and Communications Engineering,B. Tech.,473,40 %,13 %,40 %,67 %,50 %,47 %,00 %,
Applied Electronics and Instrumentation,B. Tech.,473,44 %,40 %,40 %,53 %,40 %,33 %,00 %,
Information Technology,B. Tech.,473,44 %,60 %,33 %,40 %,45 %,53 %,00 %,
Electrical and Electronics Engineering,B. Tech.,470,47 %,40 %,67 %,33 %,40 %,40 %,00 %,
Electronics and Communications Engineering,B. Tech.,470,42 %,53 %,20 %,53 %,60 %,40 %,00 %,
Computer Science Engineering,B. Tech.,470,42 %,47 %,33 %,47 %,30 %,20 %,00 %,
Computer Science Engineering,B. Tech.,467,40 %,47 %,40 %,33 %,30 %,33 %,00 %,
Computer Science Engineering,B. Tech.,467,42 %,47 %,33 %,47 %,20 %,60 %,00 %,
Computer Science Engineering,B. Tech.,464,40 %,40 %,40 %,40 %,40 %,33 %,20 %,
Electrical Engineering,B. Tech.,464,44 %,53 %,40 %,40 %,15 %,20 %,00 %,
Computer Science Engineering,B. Tech.,464,42 %,53 %,20 %,53 %,30 %,27 %,00 %,
Applied Electronics and Instrumentation,B. Tech.,464,42 %,40 %,33 %,53 %,25 %,33 %,00 %,
Computer Science Engineering,B. Tech.,464,44 %,53 %,40 %,40 %,25 %,27 %,00 %,
Computer Science Engineering,B. Tech.,464,44 %,33 %,47 %,53 %,20 %,47 %,00 %,
Electronics and Communications Engineering,B. Tech.,464,42 %,67 %,20 %,40 %,40 %,27 %,00 %,
Electronics and Communications Engineering,B. Tech.,461,40 %,33 %,27 %,60 %,30 %,47 %,40 %,
Applied Electronics and Instrumentation,B. Tech.,461,42 %,53 %,40 %,33 %,30 %,27 %,00 %,
Electrical and Electronics Engineering,B. Tech.,461,40 %,40 %,40 %,40 %,20 %,53 %,00 %,
Applied Electronics and Instrumentation,B. Tech.,461,40 %,33 %,40 %,47 %,45 %,40 %,00 %,
Computer Science Engineering,B. Tech.,458,42 %,40 %,40 %,47 %,40 %,33 %,00 %,
Electrical and Electronics Engineering,B. Tech.,458,42 %,33 %,33 %,60 %,20 %,27 %,00 %,
Computer Science Engineering,B. Tech.,455,38 %,60 %,07 %,47 %,45 %,33 %,20 %,
Electrical and Electronics Engineering,B. Tech.,455,40 %,53 %,27 %,40 %,10 %,20 %,00 %,
Electrical Engineering,B. Tech.,455,40 %,53 %,40 %,27 %,40 %,40 %,00 %,
Computer Science Engineering,B. Tech.,452,38 %,53 %,13 %,47 %,40 %,40 %,20 %,
Information Technology,B. Tech.,452,38 %,60 %,27 %,27 %,35 %,60 %,00 %,
Electrical Engineering,B. Tech.,452,40 %,53 %,07 %,60 %,20 %,27 %,00 %,
Information Technology,B. Tech.,452,40 %,27 %,40 %,53 %,25 %,53 %,00 %,
Computer Science Engineering,B. Tech.,452,42 %,60 %,07 %,60 %,15 %,13 %,00 %,
Computer Science Engineering,B. Tech.,452,40 %,20 %,53 %,47 %,25 %,40 %,60 %,
Computer Science Engineering,B. Tech.,446,38 %,47 %,33 %,33 %,20 %,33 %,00 %,
Computer Science Engineering,B. Tech.,446,36 %,33 %,27 %,47 %,35 %,40 %,00 %,
Electrical Engineering,B. Tech.,446,38 %,47 %,40 %,27 %,30 %,40 %,00 %,
Computer Science Engineering,B. Tech.,446,38 %,40 %,53 %,20 %,45 %,53 %,00 %,
Electrical and Electronics Engineering,B. Tech.,443,36 %,53 %,27 %,27 %,35 %,53 %,00 %,
Electronics and Communications Engineering,B. Tech.,443,38 %,20 %,60 %,33 %,55 %,53 %,00 %,
Applied Electronics and Instrumentation,B. Tech.,443,40 %,53 %,40 %,27 %,25 %,53 %,00 %,
Electrical Engineering,B. Tech.,443,38 %,53 %,40 %,20 %,15 %,20 %,00 %,
Electronics and Communications Engineering,B. Tech.,440,38 %,33 %,40 %,40 %,30 %,40 %,00 %,
Electrical and Electronics Engineering,B. Tech.,440,36 %,27 %,40 %,40 %,40 %,47 %,00 %,
Applied Electronics and Instrumentation,B. Tech.,440,40 %,60 %,27 %,33 %,25 %,27 %,00 %,
Computer Science Engineering,B. Tech.,437,36 %,33 %,13 %,60 %,35 %,13 %,00 %,
Electrical and Electronics Engineering,B. Tech.,437,33 %,40 %,13 %,47 %,50 %,53 %,20 %,
Electrical Engineering,B. Tech.,437,38 %,33 %,33 %,47 %,25 %,13 %,00 %,
Electrical Engineering,B. Tech.,437,36 %,40 %,40 %,27 %,30 %,40 %,00 %,
Electrical and Electronics Engineering,B. Tech.,434,36 %,40 %,33 %,33 %,50 %,33 %,00 %,
Electrical and Electronics Engineering,B. Tech.,434,33 %,47 %,20 %,33 %,30 %,47 %,00 %,
Electronics and Communications Engineering,B. Tech.,431,33 %,20 %,27 %,53 %,25 %,27 %,20 %,
Applied Electronics and Instrumentation,B. Tech.,431,33 %,33 %,40 %,27 %,40 %,47 %,00 %,
Electrical Engineering,B. Tech.,428,33 %,60 %,13 %,27 %,35 %,33 %,00 %,
Electronics and Communications Engineering,B. Tech.,428,36 %,40 %,33 %,33 %,30 %,33 %,00 %,
Electronics and Communications Engineering,B. Tech.,428,33 %,33 %,33 %,33 %,40 %,27 %,00 %,
Electrical Engineering,B. Tech.,428,36 %,40 %,33 %,33 %,25 %,20 %,00 %,
Applied Electronics and Instrumentation,B. Tech.,422,33 %,60 %,07 %,33 %,45 %,47 %,00 %,
Electrical Engineering,B. Tech.,422,33 %,40 %,07 %,53 %,25 %,40 %,00 %,
Electronics and Communications Engineering,B. Tech.,419,31 %,40 %,13 %,40 %,25 %,27 %,00 %,
Electrical and Electronics Engineering,B. Tech.,416,33 %,33 %,27 %,40 %,30 %,47 %,00 %,
Electrical and Electronics Engineering,B. Tech.,413,31 %,13 %,53 %,27 %,35 %,33 %,00 %,
Information Technology,B. Tech.,413,31 %,47 %,13 %,33 %,45 %,53 %,00 %,
Electrical Engineering,B. Tech.,410,31 %,67 %,07 %,20 %,20 %,33 %,00 %,
Electronics and Communications Engineering,B. Tech.,410,31 %,47 %,13 %,33 %,45 %,27 %,00 %,
Computer Science Engineering,B. Tech.,407,31 %,20 %,20 %,53 %,30 %,40 %,00 %,
Computer Science Engineering,B. Tech.,398,29 %,40 %,00 %,47 %,10 %,47 %,00 %,
Applied Electronics and Instrumentation,B. Tech.,395,27 %,20 %,13 %,47 %,40 %,27 %,00 %,
Electrical Engineering,B. Tech.,395,29 %,60 %,07 %,20 %,40 %,07 %,00 %,
Electrical Engineering,B. Tech.,392,29 %,33 %,33 %,20 %,30 %,53 %,00 %,
Electronics and Communications Engineering,B. Tech.,389,27 %,47 %,13 %,20 %,45 %,47 %,00 %,
Computer Science Engineering,B. Tech.,383,27 %,33 %,13 %,33 %,20 %,33 %,00 %,
Computer Science Engineering,B. Tech.,380,27 %,33 %,00 %,47 %,25 %,53 %,00 %,
Electrical Engineering,B. Tech.,371,24 %,33 %,27 %,13 %,40 %,47 %,00 %,
Electrical Engineering,B. Tech.,572,62 %,73 %,33 %,80 %,40 %,67 %,58 %,Placed
Electronics and Communications Engineering,B. Tech.,557,67 %,80 %,33 %,87 %,35 %,53 %,20 %,
Computer Science Engineering,B. Tech.,551,67 %,67 %,73 %,60 %,40 %,47 %,00 %,
Electrical Engineering,B. Tech.,548,67 %,73 %,47 %,80 %,55 %,27 %,20 %,
Mechanical Engineering,B. Tech.,545,67 %,60 %,73 %,67 %,50 %,20 %,20 %,
Electronics and Communications Engineering,B. Tech.,539,64 %,80 %,47 %,67 %,45 %,20 %,00 %,
Electrical and Electronics Engineering,B. Tech.,536,71 %,80 %,47 %,87 %,25 %,40 %,00 %,
